id,name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,estimated_annual_revenue
44452,Yonge & Bloor Studio Skyline,Unknown,Rosedale-Moore Park,Entire home/apt,91.0,28.0,68,0.36,13,365,1310.4
44469,Yonge & Bloor 2 Bedroom Apartment,Unknown,Rosedale-Moore Park,Private room,77.0,30.0,8,0.05,13,365,154.00000000000003
45399,Fountain View Studio - Eaton center,Unknown,Bay Street Corridor,Entire home/apt,104.0,28.0,89,0.47,13,362,1955.2
45893,Yonge & Bloor Lakeview Master BR,Unknown,Rosedale-Moore Park,Private room,72.0,28.0,24,0.13,13,270,374.40000000000003
50110,Yorkville one bedroom Condo,Unknown,Church-Yonge Corridor,Entire home/apt,112.0,28.0,61,0.33,13,365,1478.4
62545,Furnished Downtown Room,Unknown,Niagara,Private room,24.0,60.0,23,0.12,6,231,115.19999999999999
64641,Furnished Downtown Room,Unknown,Niagara,Private room,24.0,60.0,29,0.16,6,267,153.60000000000002
64645,Furnished Downtown Suite with Private Washroom,Unknown,Niagara,Private room,28.0,60.0,18,0.1,6,263,112.00000000000003
66856,Furnished Downtown Room,Unknown,Niagara,Private room,20.0,60.0,6,0.03,6,293,24.0
71118,Downtown Loft Suite with Private Washroom,Unknown,Niagara,Entire home/apt,32.0,60.0,13,0.07,6,236,89.60000000000001
84151,North City View DT Apartment,Unknown,Rosedale-Moore Park,Entire home/apt,111.0,30.0,23,0.13,13,365,577.2
96336,John & Bren's Queen West 3 bedroom townhouse,Unknown,Niagara,Entire home/apt,444.0,1.0,180,1.19,1,44,21134.4
112842,Gorgeous Condo near High Park!!,Unknown,High Park North,Entire home/apt,19.0,120.0,12,0.07,1,170,53.2
119441,STYLISH  LAKEVIEW / KING SIZE BED/DOWNTOWN+PARKING,Unknown,South Parkdale,Entire home/apt,102.0,28.0,86,0.48,2,272,1958.3999999999999
146601,Modern 1BR Downtown - Blue Jays Way,Unknown,Waterfront Communities-The Island,Entire home/apt,183.0,28.0,8,0.04,1,365,292.8
153000,Spacious 2BR|2BTH Condo • CN Tower / Rogers Centre,Unknown,Waterfront Communities-The Island,Entire home/apt,668.0,2.0,67,0.37,1,251,9886.4
154743,Downtown Yorkville Toronto,Unknown,Church-Yonge Corridor,Entire home/apt,96.0,30.0,70,0.39,1,189,1497.6
186342,LUXE Bayview Village 3BR /w 2-Car Garage,Unknown,Bayview Village,Entire home/apt,264.0,30.0,0,0.0,1,173,0.0
192860,modern clean quiet 2B@ High Park -40% monthly,Unknown,Junction Area,Entire home/apt,82.0,29.0,129,0.73,2,142,2394.4
196584,Spacious 1 Bedroom Suite on Subway Line!,Unknown,Oakridge,Entire home/apt,82.0,28.0,71,0.61,1,332,2000.8000000000002
224775,"Location, Location downtown Toronto /  Lower Rate",Unknown,Church-Yonge Corridor,Private room,78.0,28.0,41,0.31,2,284,967.2
232794,Unrivaled location on Yorkville Ave/2000 sq ft,Unknown,Annex,Entire home/apt,262.0,28.0,8,0.05,1,207,524.0000000000001
239449,Bright 1BR Prime Annex U of T - Subway / Bloor St,Unknown,Annex,Entire home/apt,113.0,28.0,42,0.27,1,137,1220.4
288341,Beautiful Victorian Home,Unknown,North St.James Town,Entire home/apt,628.0,1.0,67,0.44,1,309,11052.800000000001
307726,Boutique Chic Studio at Maple Leaf Square,Unknown,Waterfront Communities-The Island,Entire home/apt,116.0,28.0,73,0.42,1,188,1948.8000000000002
363057,Charming Century Cottage in Beaches,Unknown,The Beaches,Entire home/apt,239.0,28.0,87,0.82,1,364,7839.200000000001
366973,Spacious Modern Cozy King W Toronto,Unknown,Waterfront Communities-The Island,Entire home/apt,144.0,28.0,9,0.06,1,358,345.59999999999997
393873,"Sunny, Spacious, Downtown 1 Bedroom",Unknown,Niagara,Entire home/apt,19.0,183.0,21,0.12,1,341,91.2
394627,Furnished Downtown Studio Suite,Unknown,University,Entire home/apt,25.0,60.0,5,0.04,6,353,40.0
403200,Yonge & Bloor Lakview Bedroom,Unknown,Rosedale-Moore Park,Private room,68.0,28.0,6,0.04,13,365,108.80000000000001
429943,Super Studio in the Upper Beach,Unknown,East End-Danforth,Entire home/apt,76.0,28.0,48,0.29,18,316,881.6
466650,Spacious Scandinavian Style Home in King West,Unknown,Niagara,Entire home/apt,1064.0,6.0,88,0.53,2,196,22556.800000000003
495303,Your Home In Toronto,Unknown,Dovercourt-Wallace Emerson-Junction,Entire home/apt,115.0,29.0,115,0.7,1,89,3219.9999999999995
511463,room available in a gorgeous light- filled loft-,Unknown,Dovercourt-Wallace Emerson-Junction,Private room,157.0,2.0,8,0.05,1,84,314.00000000000006
516823,"Monthly, Cozy + Clean Studio in the Junction",Unknown,Junction Area,Entire home/apt,74.0,31.0,189,1.13,2,275,3344.7999999999997
